user_id,heart_rate_bpm,blood_oxygen_pct,step_count,sleep_duration_hrs,activity_level,stress_level,stress_category,health_score,health_category
18817,99,98.5,133,5.1,Sedentary,6,Moderate,9,Moderate
5220,103,89.8,18455,5.0,Active,10,High,8,Moderate
1287,67,99.7,22190,6.9,Highly Active,2,Low,13,Excellent
13798,178,91.2,29611,5.6,Highly Active,8,High,8,Moderate
18338,115,86.1,1476,2.0,Sedentary,10,High,5,Low
17136,169,89.1,5782,5.9,Moderate,9,High,7,Moderate
3211,60,99.4,26300,8.3,Highly Active,1,Low,15,Excellent
9536,51,97.3,2743,8.3,Sedentary,2,Low,12,Good
6239,111,96.7,19257,5.6,Highly Active,7,Moderate,10,Good
18314,111,95.5,16738,7.2,Active,7,Moderate,11,Good
11900,104,98.3,13291,7.2,Active,6,Moderate,12,Good
5117,151,95.0,19991,2.3,Active,8,High,8,Moderate
17845,82,96.8,2886,5.9,Sedentary,6,Moderate,8,Moderate
18108,106,88.6,4563,2.8,Moderate,9,High,5,Low
6768,51,99.6,6470,7.3,Moderate,3,Low,14,Excellent
4113,103,92.4,1137,3.8,Sedentary,9,High,5,Low
1974,57,98.4,985,8.0,Sedentary,1,Low,13,Excellent
16300,87,98.0,18502,6.4,Highly Active,4,Moderate,11,Good
911,100,90.2,14547,4.2,Active,9,High,7,Moderate
5659,120,97.7,1623,6.0,Sedentary,7,Moderate,8,Moderate
8671,142,93.8,2538,1.1,Sedentary,10,High,5,Low
18456,105,91.6,19703,4.4,Highly Active,9,High,7,Moderate
6201,110,97.6,26665,6.8,Highly Active,5,Moderate,10,Good
11839,102,98.2,12720,5.5,Active,6,Moderate,11,Good
3454,83,98.1,17235,8.0,Highly Active,3,Low,13,Excellent
5585,63,99.0,20483,8.1,Highly Active,1,Low,15,Excellent
17009,142,90.0,15461,2.7,Active,9,High,7,Moderate
18982,120,94.8,6700,5.1,Moderate,6,Moderate,8,Moderate
5043,81,96.1,265,6.1,Sedentary,4,Moderate,8,Moderate
6702,120,94.5,5114,5.3,Moderate,5,Moderate,8,Moderate
543,120,96.6,3328,6.7,Sedentary,7,Moderate,8,Moderate
4850,52,97.9,17051,7.5,Active,1,Low,14,Excellent
13784,120,96.1,10146,6.8,Active,4,Moderate,10,Good
14585,120,98.5,2385,5.4,Sedentary,5,Moderate,9,Moderate
15430,81,94.7,9793,6.8,Moderate,4,Moderate,8,Moderate
5301,105,90.1,4695,5.3,Moderate,9,High,6,Low
7692,81,96.1,817,7.0,Sedentary,5,Moderate,9,Moderate
4513,171,87.0,14301,5.5,Active,8,High,8,Moderate
17615,122,94.9,6279,2.3,Moderate,10,High,6,Low
3456,65,99.3,2842,7.0,Sedentary,1,Low,13,Excellent
2993,113,97.2,4634,5.8,Moderate,5,Moderate,8,Moderate
13743,116,94.3,11152,5.1,Active,5,Moderate,9,Moderate
13669,89,94.7,23943,5.2,Highly Active,6,Moderate,9,Moderate
10158,105,97.1,17388,7.4,Active,7,Moderate,11,Good
14099,120,95.6,29433,5.2,Highly Active,5,Moderate,10,Good
17944,91,98.4,26685,6.3,Highly Active,5,Moderate,11,Good
13717,59,98.0,6265,7.3,Moderate,1,Low,14,Excellent
9139,167,88.9,7627,2.9,Moderate,9,High,6,Low
5372,142,87.7,18707,5.8,Active,10,High,8,Moderate
6933,106,92.4,26126,5.2,Highly Active,8,High,8,Moderate
2087,120,98.7,2436,7.1,Sedentary,5,Moderate,10,Good
14316,176,94.2,2317,2.8,Sedentary,10,High,5,Low
11713,64,99.6,2278,8.3,Sedentary,3,Low,13,Excellent
9693,59,97.7,20455,9.0,Highly Active,2,Low,14,Excellent
50,89,98.0,12511,7.0,Active,5,Moderate,12,Good
3492,182,92.7,2909,0.8,Sedentary,8,High,5,Low
14258,70,98.1,1280,6.6,Sedentary,2,Low,11,Good
4630,103,90.8,27732,5.3,Highly Active,9,High,8,Moderate
13561,89,98.3,6439,7.1,Moderate,3,Low,12,Good
9810,87,94.0,261,5.1,Sedentary,5,Moderate,7,Moderate
15254,96,94.1,8251,6.9,Moderate,5,Moderate,8,Moderate
14783,104,97.8,11367,6.9,Active,5,Moderate,10,Good
14874,51,99.6,3317,8.7,Sedentary,2,Low,13,Excellent
16158,54,99.8,21938,8.5,Highly Active,3,Low,15,Excellent
5569,74,97.6,10395,7.5,Active,1,Low,13,Excellent
13816,74,99.4,4019,7.5,Moderate,2,Low,12,Good
16784,120,96.4,22557,7.4,Highly Active,4,Moderate,11,Good
4689,191,87.8,17301,5.6,Active,8,High,8,Moderate
13758,58,99.8,7714,7.7,Moderate,2,Low,14,Excellent
14200,120,94.8,15608,6.6,Active,4,Moderate,9,Moderate
4740,77,97.1,19354,8.1,Active,3,Low,13,Excellent
18918,100,97.5,25042,5.7,Highly Active,4,Moderate,10,Good
16275,59,99.7,923,8.7,Sedentary,3,Low,13,Excellent
5924,103,86.0,5929,1.6,Moderate,9,High,6,Low
3310,112,92.9,13129,4.7,Active,9,High,7,Moderate
11881,86,97.0,21112,6.1,Highly Active,7,Moderate,10,Good
16210,164,87.7,8626,2.9,Moderate,9,High,6,Low
5029,80,95.0,29897,5.0,Highly Active,6,Moderate,11,Good
2509,98,95.8,23885,5.7,Highly Active,7,Moderate,10,Good
3940,90,97.4,7090,6.9,Moderate,7,Moderate,9,Moderate
59,171,93.5,3079,2.6,Sedentary,8,High,5,Low
1562,94,98.0,18361,8.2,Active,2,Low,13,Excellent
14322,112,87.9,3259,1.0,Sedentary,8,High,5,Low
17533,128,88.5,9498,4.2,Moderate,9,High,6,Low
7466,102,85.6,29774,4.3,Highly Active,9,High,7,Moderate
15881,65,98.0,9065,7.7,Moderate,1,Low,14,Excellent
1137,66,98.1,690,8.5,Sedentary,1,Low,12,Good
15542,75,99.4,1335,7.0,Sedentary,1,Low,12,Good
155,61,97.1,16957,8.9,Active,1,Low,14,Excellent
5071,85,97.3,16656,6.8,Active,4,Moderate,10,Good
12739,120,89.8,9262,2.6,Moderate,10,High,6,Low
13729,145,87.0,19045,4.6,Active,9,High,7,Moderate
10726,102,89.9,7936,5.0,Moderate,10,High,7,Moderate
1948,120,98.5,5154,6.2,Moderate,4,Moderate,10,Good
16056,92,98.5,17980,7.1,Highly Active,6,Moderate,12,Good
850,100,97.7,16648,7.4,Active,5,Moderate,11,Good
11128,110,93.4,4849,5.5,Moderate,9,High,6,Low
1775,75,97.9,3019,6.5,Sedentary,3,Low,10,Good
1024,63,98.2,9649,6.6,Moderate,3,Low,13,Excellent
14146,88,94.1,22098,5.0,Highly Active,6,Moderate,9,Moderate
18925,72,96.6,4357,7.5,Moderate,7,Moderate,10,Good
10282,59,99.0,4355,9.0,Moderate,1,Low,13,Excellent
5192,112,96.5,2787,7.0,Sedentary,6,Moderate,9,Moderate
18671,44,99.8,12125,6.9,Active,2,Low,14,Excellent
2379,76,97.9,564,6.9,Sedentary,2,Low,10,Good
13618,95,97.1,10949,6.4,Active,4,Moderate,10,Good
12211,112,86.4,27945,2.8,Highly Active,9,High,7,Moderate
9320,92,94.8,6070,5.3,Moderate,7,Moderate,8,Moderate
10347,154,90.5,5732,2.7,Moderate,10,High,6,Low
8385,139,93.1,6345,3.8,Moderate,9,High,6,Low
3534,90,98.9,29986,5.4,Highly Active,4,Moderate,11,Good
3494,81,96.8,16271,7.2,Highly Active,7,Moderate,11,Good
17794,140,93.9,9091,4.6,Moderate,10,High,6,Low
13795,75,96.9,27319,5.9,Highly Active,5,Moderate,11,Good
2138,51,98.2,4588,8.6,Moderate,1,Low,13,Excellent
8985,111,98.6,12495,6.4,Active,6,Moderate,11,Good
7138,68,98.5,164,8.3,Sedentary,1,Low,12,Good
14286,164,86.5,14779,2.4,Active,9,High,7,Moderate
8542,169,85.4,14107,3.7,Active,9,High,7,Moderate
11188,119,96.3,22122,6.4,Highly Active,4,Moderate,10,Good
6451,76,97.7,12105,7.2,Active,3,Low,13,Excellent
18944,64,99.8,4621,8.1,Moderate,3,Low,13,Excellent
4398,92,98.3,16694,6.6,Highly Active,7,Moderate,11,Good
5820,69,98.0,5989,6.3,Moderate,6,Moderate,11,Good
5438,65,99.4,15735,8.5,Highly Active,1,Low,15,Excellent
7407,109,89.1,8585,3.1,Moderate,10,High,6,Low
11484,116,92.2,14318,5.9,Active,8,High,8,Moderate
16075,100,87.1,9164,5.3,Moderate,10,High,7,Moderate
1329,74,97.4,13863,8.2,Active,2,Low,13,Excellent
6047,101,93.4,2000,1.2,Sedentary,8,High,5,Low
2080,49,99.3,2666,7.8,Sedentary,3,Low,13,Excellent
18887,121,86.4,2512,2.3,Sedentary,10,High,5,Low
17951,120,94.1,456,6.8,Sedentary,6,Moderate,7,Moderate
3573,120,94.1,25878,7.4,Highly Active,5,Moderate,10,Good
13536,120,96.1,11080,6.5,Active,6,Moderate,10,Good
6359,120,95.8,6635,5.4,Moderate,7,Moderate,9,Moderate
6367,154,94.7,5872,1.9,Moderate,9,High,6,Low
13178,109,86.5,166,3.7,Sedentary,9,High,5,Low
3761,86,94.2,11530,6.3,Active,4,Moderate,9,Moderate
9720,105,97.4,20041,6.6,Highly Active,4,Moderate,10,Good
12072,61,98.8,4855,8.1,Moderate,1,Low,13,Excellent
5095,100,90.7,6843,1.0,Moderate,8,High,6,Low
2118,58,99.3,27084,7.5,Highly Active,1,Low,15,Excellent
5830,120,94.1,13647,3.0,Active,8,High,7,Moderate
14172,115,92.5,16142,1.1,Active,10,High,7,Moderate
10087,104,96.7,9449,6.9,Moderate,5,Moderate,9,Moderate
13446,70,97.1,3933,7.0,Sedentary,6,Moderate,10,Good
1538,95,98.1,5766,7.3,Moderate,5,Moderate,11,Good
5296,160,85.5,11207,2.9,Active,10,High,7,Moderate
13869,100,89.6,9571,5.8,Moderate,9,High,7,Moderate
2516,143,91.6,21252,2.4,Highly Active,10,High,7,Moderate
12320,55,97.1,17721,7.0,Active,1,Low,14,Excellent
4100,106,95.9,4987,6.8,Moderate,6,Moderate,8,Moderate
13190,69,97.5,3245,7.1,Sedentary,1,Low,11,Good
6703,73,99.0,4115,8.7,Moderate,2,Low,12,Good
3643,77,98.1,3499,6.6,Sedentary,3,Low,11,Good
5313,65,97.9,392,8.8,Sedentary,2,Low,12,Good
13032,64,99.0,11794,6.9,Active,1,Low,14,Excellent
4146,112,94.3,618,7.3,Sedentary,4,Moderate,8,Moderate
13024,82,96.4,25481,6.6,Highly Active,4,Moderate,10,Good
812,57,98.5,6867,6.5,Moderate,1,Low,13,Excellent
3644,72,98.6,2359,8.5,Sedentary,1,Low,12,Good
5780,108,92.4,1368,4.9,Sedentary,8,High,5,Low
15590,66,97.9,3771,8.4,Sedentary,2,Low,11,Good
10379,53,98.5,8188,6.6,Moderate,2,Low,13,Excellent
6823,91,96.0,11472,5.9,Active,7,Moderate,10,Good
9114,46,97.8,16813,8.3,Highly Active,2,Low,14,Excellent
5485,56,98.9,269,8.4,Sedentary,3,Low,13,Excellent
13136,117,94.1,8446,1.6,Moderate,8,High,6,Low
13055,116,96.2,3420,6.3,Sedentary,4,Moderate,8,Moderate
18341,102,90.0,4363,0.5,Moderate,10,High,5,Low
2737,59,98.8,6135,8.1,Moderate,1,Low,14,Excellent
12959,63,96.9,23600,6.4,Highly Active,7,Moderate,12,Good
4109,63,97.5,15001,7.9,Active,2,Low,14,Excellent
13206,97,98.9,1613,5.8,Sedentary,6,Moderate,9,Moderate
6767,43,98.7,27379,7.4,Highly Active,2,Low,15,Excellent
9222,64,98.1,8227,8.4,Moderate,3,Low,14,Excellent
15421,113,93.5,14618,3.9,Active,10,High,7,Moderate
4687,90,95.2,8190,5.7,Moderate,7,Moderate,9,Moderate
17036,139,92.2,19455,4.0,Active,8,High,7,Moderate
5030,143,89.2,29240,2.8,Highly Active,8,High,7,Moderate
5281,120,97.6,7315,6.5,Moderate,5,Moderate,9,Moderate
5227,86,96.3,5974,7.4,Moderate,7,Moderate,10,Good
8436,59,100.0,28084,7.8,Highly Active,3,Low,15,Excellent
15105,62,97.4,27656,7.7,Highly Active,1,Low,14,Excellent
14728,112,97.2,14394,5.3,Active,6,Moderate,10,Good
11785,55,97.1,16914,8.5,Active,3,Low,14,Excellent
8781,114,95.2,19240,6.2,Highly Active,5,Moderate,10,Good
15819,143,90.1,28735,2.2,Highly Active,8,High,7,Moderate
9175,184,85.2,9980,4.9,Moderate,8,High,6,Low
17022,71,97.1,4850,8.6,Moderate,2,Low,11,Good
14731,128,93.9,26488,0.6,Highly Active,9,High,7,Moderate
6934,149,91.9,16371,4.6,Active,9,High,7,Moderate
9598,101,94.8,22068,6.4,Highly Active,4,Moderate,9,Moderate
13402,86,94.5,11863,7.4,Active,4,Moderate,10,Good
6812,92,95.1,6112,7.5,Moderate,6,Moderate,10,Good
15350,62,97.3,9880,7.7,Moderate,2,Low,13,Excellent
1945,170,86.2,4808,4.0,Moderate,10,High,5,Low
4786,105,92.6,21522,0.7,Highly Active,9,High,7,Moderate
5720,130,85.1,99,0.8,Sedentary,9,High,5,Low
4577,120,94.7,23805,7.3,Highly Active,7,Moderate,10,Good
249,82,97.0,10447,5.8,Active,4,Moderate,10,Good
6850,46,97.4,4038,7.3,Moderate,3,Low,12,Good
3532,111,94.7,11522,2.8,Active,8,High,7,Moderate
16700,60,98.9,28229,7.2,Highly Active,1,Low,15,Excellent
11932,96,96.5,24517,7.4,Highly Active,5,Moderate,11,Good
18660,107,94.5,17607,7.4,Highly Active,5,Moderate,10,Good
10815,60,98.8,8447,8.0,Moderate,3,Low,14,Excellent
10004,120,98.0,4141,7.0,Moderate,4,Moderate,10,Good
5810,84,96.9,3112,6.6,Sedentary,5,Moderate,8,Moderate
978,177,92.2,3766,3.1,Sedentary,10,High,5,Low
3859,76,94.7,606,5.2,Sedentary,7,Moderate,8,Moderate
7939,109,97.8,3216,7.5,Sedentary,7,Moderate,9,Moderate
2573,58,99.2,13378,7.2,Active,2,Low,15,Excellent
10764,78,97.8,26383,8.7,Highly Active,1,Low,13,Excellent
4703,45,98.9,1743,7.9,Sedentary,3,Low,13,Excellent
12643,93,94.6,29493,6.9,Highly Active,4,Moderate,9,Moderate
10592,106,94.0,22978,6.6,Highly Active,5,Moderate,9,Moderate
166,115,94.3,19231,6.7,Active,7,Moderate,9,Moderate
15279,106,97.5,11850,6.8,Active,7,Moderate,10,Good
2795,64,98.6,18257,7.9,Active,1,Low,15,Excellent
14729,115,85.9,18453,1.3,Active,8,High,7,Moderate
6271,62,98.2,17958,7.1,Highly Active,2,Low,15,Excellent
11053,103,96.3,17872,7.3,Active,5,Moderate,11,Good
9074,61,99.8,16292,8.3,Highly Active,1,Low,15,Excellent
15969,53,100.0,7752,8.2,Moderate,1,Low,14,Excellent
17594,143,87.5,4267,0.6,Moderate,9,High,5,Low
14468,97,95.4,16315,5.9,Active,4,Moderate,10,Good
12503,102,95.1,16583,6.7,Active,4,Moderate,10,Good
12225,45,99.0,362,7.1,Sedentary,3,Low,13,Excellent
15724,104,85.0,18582,2.4,Active,9,High,7,Moderate
10028,90,94.9,16033,6.2,Active,7,Moderate,9,Moderate
18843,77,99.6,25146,7.9,Highly Active,2,Low,14,Excellent
15564,115,96.0,342,5.5,Sedentary,7,Moderate,8,Moderate
17686,81,95.6,14937,6.7,Active,6,Moderate,10,Good
16771,167,93.6,1465,3.6,Sedentary,10,High,5,Low
929,116,96.9,15699,7.3,Active,6,Moderate,11,Good
7460,63,97.0,21869,6.7,Highly Active,4,Moderate,12,Good
13846,103,96.9,958,6.9,Sedentary,6,Moderate,8,Moderate
248,68,95.4,29294,6.4,Highly Active,7,Moderate,11,Good
1637,68,95.4,3996,5.8,Sedentary,4,Moderate,9,Moderate
5449,62,97.2,8438,7.7,Moderate,3,Low,13,Excellent
7799,61,98.6,10518,7.6,Active,1,Low,15,Excellent
2991,120,94.4,835,6.4,Sedentary,5,Moderate,7,Moderate
1549,89,97.1,6324,8.5,Moderate,2,Low,11,Good
8519,67,99.5,2856,8.4,Sedentary,1,Low,12,Good
5013,85,98.4,18805,7.0,Highly Active,3,Low,13,Excellent
9288,109,86.5,23146,3.3,Highly Active,9,High,7,Moderate
8056,109,94.0,8875,4.9,Moderate,8,High,6,Low
11443,117,97.1,4077,5.5,Moderate,4,Moderate,8,Moderate
8837,83,98.3,14735,6.6,Active,1,Low,12,Good
18240,113,97.8,18362,6.5,Active,4,Moderate,10,Good
13662,59,99.2,6718,8.1,Moderate,2,Low,14,Excellent
561,60,98.0,27333,7.2,Highly Active,2,Low,15,Excellent
5275,98,97.0,19554,6.6,Highly Active,5,Moderate,10,Good
5457,91,98.2,3598,5.2,Sedentary,6,Moderate,9,Moderate
17804,112,94.6,16292,6.1,Active,5,Moderate,9,Moderate
10160,133,90.3,16476,5.6,Active,9,High,8,Moderate
16010,120,98.2,24543,6.7,Highly Active,7,Moderate,11,Good
16382,55,98.4,8870,7.3,Moderate,3,Low,14,Excellent
12883,129,86.8,3363,0.8,Sedentary,10,High,5,Low
558,93,99.3,1862,8.2,Sedentary,3,Low,11,Good
12638,175,85.5,15785,5.9,Active,8,High,8,Moderate
11860,114,95.7,21672,6.6,Highly Active,4,Moderate,10,Good
12937,156,93.0,16507,0.9,Highly Active,9,High,7,Moderate
12288,101,95.7,4511,6.9,Moderate,6,Moderate,8,Moderate
1845,94,98.7,29825,6.4,Highly Active,5,Moderate,11,Good
1185,115,94.0,19034,7.2,Highly Active,6,Moderate,10,Good
14173,65,97.4,3904,8.3,Sedentary,2,Low,12,Good
6394,94,95.0,12042,6.4,Active,5,Moderate,10,Good
4614,91,98.7,13567,6.1,Active,4,Moderate,11,Good
863,92,94.8,525,5.2,Sedentary,5,Moderate,7,Moderate
8017,62,97.1,2737,6.8,Sedentary,2,Low,11,Good
1914,98,95.0,8524,5.9,Moderate,6,Moderate,9,Moderate
11154,101,94.2,15598,5.4,Active,6,Moderate,9,Moderate
10742,170,86.2,19448,2.1,Active,8,High,7,Moderate
17872,83,97.5,2847,8.8,Sedentary,2,Low,10,Good
18549,54,98.9,18221,7.4,Active,1,Low,15,Excellent
11659,126,93.9,9669,2.7,Moderate,9,High,6,Low
1689,112,95.1,27297,6.6,Highly Active,4,Moderate,10,Good
10362,151,92.4,15613,5.8,Active,9,High,8,Moderate
17231,115,90.0,3602,1.2,Sedentary,10,High,5,Low
3487,124,87.9,8778,2.7,Moderate,8,High,6,Low
3414,99,94.2,11577,5.0,Active,4,Moderate,9,Moderate
6566,185,91.0,2169,1.9,Sedentary,8,High,5,Low
170,59,97.1,19074,7.8,Highly Active,2,Low,14,Excellent
17610,105,94.1,22316,3.8,Highly Active,10,High,7,Moderate
16532,110,89.7,17700,5.2,Highly Active,9,High,8,Moderate
16103,60,99.5,5637,9.0,Moderate,2,Low,14,Excellent
7780,70,96.9,3562,5.8,Sedentary,4,Moderate,9,Moderate
14150,120,98.3,2993,6.9,Sedentary,5,Moderate,9,Moderate
3968,60,99.3,15167,6.9,Active,2,Low,14,Excellent
6030,79,97.9,8126,8.6,Moderate,2,Low,12,Good
14587,103,94.6,5397,6.8,Moderate,6,Moderate,8,Moderate
16372,112,94.0,23599,6.4,Highly Active,5,Moderate,9,Moderate
9663,119,97.7,16148,5.3,Active,5,Moderate,10,Good
498,113,87.3,131,5.2,Sedentary,8,High,6,Low
1362,58,98.7,16597,7.4,Active,2,Low,15,Excellent
14599,136,86.4,465,4.5,Sedentary,8,High,5,Low
18168,88,96.2,19565,6.5,Active,4,Moderate,10,Good
16630,57,99.2,22123,8.4,Highly Active,1,Low,15,Excellent
2092,120,97.8,22479,6.8,Highly Active,5,Moderate,10,Good
9815,76,98.1,9367,8.5,Moderate,1,Low,13,Excellent
1878,126,91.2,8269,5.4,Moderate,8,High,7,Moderate
2154,101,86.7,15373,4.3,Highly Active,8,High,7,Moderate
8596,71,98.9,17434,8.1,Active,3,Low,14,Excellent
13933,120,95.0,15650,6.1,Active,4,Moderate,10,Good
4096,135,87.8,2025,1.2,Sedentary,10,High,5,Low
8123,74,94.6,4156,5.9,Moderate,5,Moderate,8,Moderate
18736,139,92.3,29541,5.8,Highly Active,8,High,8,Moderate
504,103,91.2,20830,1.3,Highly Active,10,High,7,Moderate
18749,119,97.7,26210,6.9,Highly Active,5,Moderate,10,Good
12933,93,97.2,9891,5.7,Moderate,7,Moderate,9,Moderate
332,157,92.9,24364,4.2,Highly Active,10,High,7,Moderate
3739,67,99.7,8297,7.6,Moderate,1,Low,13,Excellent
7489,120,94.3,5913,6.5,Moderate,7,Moderate,8,Moderate
11041,66,99.9,5656,7.8,Moderate,1,Low,13,Excellent
11459,120,92.3,1777,5.2,Sedentary,10,High,6,Low
13509,92,95.1,26503,7.1,Highly Active,6,Moderate,11,Good
14531,62,99.4,9424,8.6,Moderate,2,Low,14,Excellent
3530,72,97.7,7136,7.7,Moderate,3,Low,12,Good
13891,55,99.0,11048,8.5,Active,2,Low,15,Excellent
4395,135,93.2,428,2.8,Sedentary,10,High,5,Low
18231,56,99.1,1286,7.9,Sedentary,2,Low,13,Excellent
8753,68,99.9,9780,7.8,Moderate,1,Low,13,Excellent
85,151,85.6,8954,3.6,Moderate,8,High,6,Low
7288,105,90.7,14420,4.3,Active,9,High,7,Moderate
8016,109,94.2,18239,2.5,Highly Active,9,High,7,Moderate
16578,114,86.5,3326,3.2,Sedentary,9,High,5,Low
5041,55,99.8,18822,8.3,Highly Active,2,Low,15,Excellent
10118,62,98.3,5152,7.0,Moderate,2,Low,14,Excellent
1605,115,97.5,9563,6.5,Moderate,6,Moderate,9,Moderate
13090,76,95.1,26782,6.9,Highly Active,5,Moderate,11,Good
4082,86,94.1,15257,6.5,Active,6,Moderate,9,Moderate
2783,51,97.8,11857,8.3,Active,1,Low,14,Excellent
7144,115,92.1,1417,0.6,Sedentary,8,High,5,Low
18550,191,90.8,7569,4.1,Moderate,8,High,6,Low
3068,59,97.4,1839,7.1,Sedentary,3,Low,12,Good
13902,161,89.1,665,5.7,Sedentary,9,High,6,Low
12053,58,98.8,24817,8.4,Highly Active,3,Low,15,Excellent
7749,74,99.7,1980,8.6,Sedentary,2,Low,12,Good
8263,120,97.6,1028,6.7,Sedentary,6,Moderate,8,Moderate
16687,139,91.0,21387,2.8,Highly Active,8,High,7,Moderate
8160,53,98.1,24564,6.7,Highly Active,1,Low,14,Excellent
1641,99,96.0,29189,6.7,Highly Active,5,Moderate,10,Good
18947,73,98.9,22130,6.9,Highly Active,6,Moderate,12,Good
13626,120,96.6,435,5.6,Sedentary,5,Moderate,8,Moderate
6169,58,99.3,1949,7.1,Sedentary,2,Low,13,Excellent
2560,119,98.9,6351,7.3,Moderate,7,Moderate,11,Good
2882,78,98.0,18412,7.0,Active,1,Low,14,Excellent
8640,120,94.6,29332,6.3,Highly Active,5,Moderate,9,Moderate
16257,98,98.1,9149,7.3,Moderate,7,Moderate,11,Good
18883,119,85.3,16886,2.8,Active,10,High,7,Moderate
11402,128,88.9,172,4.9,Sedentary,10,High,5,Low
1343,102,95.0,17822,2.9,Highly Active,10,High,8,Moderate
17879,134,88.5,9032,3.9,Moderate,10,High,6,Low
2609,101,91.1,4599,1.3,Moderate,10,High,5,Low
5522,72,98.3,14526,8.6,Active,2,Low,14,Excellent
12518,111,92.4,8809,4.9,Moderate,10,High,6,Low
13017,116,86.3,19487,1.6,Active,10,High,7,Moderate
18190,62,99.3,28685,7.7,Highly Active,3,Low,15,Excellent
11980,117,94.8,26316,7.3,Highly Active,6,Moderate,10,Good
7057,78,100.0,10395,7.6,Active,2,Low,14,Excellent
4537,100,87.4,11775,2.0,Active,10,High,7,Moderate
14744,50,97.3,8864,7.7,Moderate,1,Low,13,Excellent
17818,117,98.5,2889,5.9,Sedentary,6,Moderate,9,Moderate
8691,85,97.1,5008,8.4,Moderate,1,Low,11,Good
9466,77,97.4,6159,8.2,Moderate,1,Low,12,Good
8207,134,88.9,16742,5.0,Active,9,High,8,Moderate
11438,57,97.9,4162,8.7,Moderate,1,Low,12,Good
9364,172,93.4,7082,5.7,Moderate,10,High,7,Moderate
15540,113,94.5,19619,7.2,Active,4,Moderate,10,Good
7188,82,97.2,16351,7.2,Highly Active,1,Low,12,Good
9788,109,98.9,2277,5.1,Sedentary,5,Moderate,9,Moderate
14501,101,89.5,173,4.4,Sedentary,9,High,5,Low
17315,101,96.0,22157,6.9,Highly Active,4,Moderate,10,Good
17606,103,96.8,6801,6.3,Moderate,7,Moderate,9,Moderate
15805,164,92.5,11636,3.3,Active,8,High,7,Moderate
11143,90,94.2,1461,5.1,Sedentary,4,Moderate,7,Moderate
18757,82,95.1,3582,5.1,Sedentary,4,Moderate,8,Moderate
6129,109,98.8,3455,7.5,Sedentary,6,Moderate,10,Good
9767,52,100.0,17026,8.5,Highly Active,1,Low,15,Excellent
